Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 
14.2	 73.0799	 45.6997	 45.6997	 73.0708	 45.6884	 45.6884	 
14.3	 73.0439	 45.7291	 45.7291	 73.0362	 45.7168	 45.7168	 
14.4	 73.0136	 45.7575	 45.7575	 73.0085	 45.743	 45.743	 
14.5	 73.0192	 45.7535	 45.7535	 73.0133	 45.7397	 45.7397	 
14.6	 73.0447	 45.7294	 45.7294	 73.0371	 45.7171	 45.7171	 
14.7	 73.0669	 45.7097	 45.7097	 73.0585	 45.6978	 45.6978	 
14.8	 73.0908	 45.6935	 45.6935	 73.0804	 45.6834	 45.6834	 
14.9	 73.1064	 45.6841	 45.6841	 73.0951	 45.6747	 45.6747	 
15	 73.1038	 45.6843	 45.6843	 73.0938	 45.6738	 45.6738	 
15.1	 73.0798	 45.6998	 45.6998	 73.0723	 45.6873	 45.6873	 
15.2	 73.0474	 45.726	 45.726	 73.0389	 45.7144	 45.7144	 
15.3	 73.0156	 45.7555	 45.7555	 73.0099	 45.7414	 45.7414	 
15.4	 73.022	 45.751	 45.751	 73.0125	 45.7402	 45.7402	 
15.5	 73.043	 45.7309	 45.7309	 73.0349	 45.7189	 45.7189	 
15.6	 73.0679	 45.7088	 45.7088	 73.058	 45.6982	 45.6982	 
15.7	 73.0868	 45.6963	 45.6963	 73.0784	 45.6845	 45.6845	 
15.8	 73.1033	 45.6862	 45.6862	 73.0947	 45.6747	 45.6747	 
15.9	 73.1018	 45.6859	 45.6859	 73.0938	 45.6737	 45.6737	 
16	 73.081	 45.699	 45.699	 73.0736	 45.6864	 45.6864	 
16.1	 73.0491	 45.7245	 45.7245	 73.0425	 45.7113	 45.7113	 
16.2	 73.0174	 45.7536	 45.7536	 73.0122	 45.7392	 45.7392	 
16.3	 73.0202	 45.7524	 45.7524	 73.0135	 45.7392	 45.7392	 
16.4	 73.0401	 45.7333	 45.7333	 73.0333	 45.7203	 45.7203	 
16.5	 73.0662	 45.7102	 45.7102	 73.0582	 45.698	 45.698	 
16.6	 73.0828	 45.6991	 45.6991	 73.0763	 45.6858	 45.6858	 
16.7	 73.1029	 45.6862	 45.6862	 73.0932	 45.6755	 45.6755	 
16.8	 73.1022	 45.6855	 45.6855	 73.0924	 45.6748	 45.6748	 
16.9	 73.0841	 45.6967	 45.6967	 73.0741	 45.6861	 45.6861	 
17	 73.0523	 45.7217	 45.7217	 73.0439	 45.71	 45.71	 
17.1	 73.0209	 45.7503	 45.7503	 73.0139	 45.7374	 45.7374	 
17.2	 73.0206	 45.7518	 45.7518	 73.0124	 45.7399	 45.7399	 
17.3	 73.041	 45.7326	 45.7326	 73.0314	 45.7219	 45.7219	 
17.4	 73.0675	 45.7092	 45.7092	 73.0559	 45.6999	 45.6999	 
17.5	 73.0819	 45.6996	 45.6996	 73.074	 45.6873	 45.6873	 
17.6	 73.1022	 45.6864	 45.6864	 73.0918	 45.6763	 45.6763	 
17.7	 73.1006	 45.6868	 45.6868	 73.0918	 45.6753	 45.6753	 
17.8	 73.0847	 45.6963	 45.6963	 73.0756	 45.685	 45.685	 
